Date,Open,High,Low,Close,Volume,Currency
2021-09-21,143.93,144.6,142.78,143.43,75168000,USD
2021-09-22,144.45,146.43,143.7,145.85,76404000,USD
2021-09-23,146.65,147.08,145.64,146.83,64513000,USD
2021-09-24,145.66,147.47,145.56,146.92,53478000,USD
2021-09-27,145.47,145.96,143.82,145.37,72233000,USD
2021-09-28,143.25,144.75,141.69,141.91,108445000,USD
2021-09-29,142.47,144.45,142.03,142.83,74300000,USD
2021-09-30,143.66,144.38,141.28,141.5,88768000,USD
2021-10-01,141.9,142.92,139.11,142.65,94640000,USD
2021-10-04,141.76,142.21,138.27,139.14,97904000,USD
2021-10-05,139.49,142.24,139.36,141.11,80575000,USD
2021-10-06,139.47,142.15,138.37,142.0,82622000,USD
2021-10-07,143.06,144.21,142.72,143.29,61406000,USD
2021-10-08,144.03,144.18,142.56,142.9,58773000,USD
2021-10-11,142.27,144.81,141.81,142.81,64255000,USD
2021-10-12,143.23,143.25,141.04,141.51,73036000,USD
2021-10-13,141.24,141.4,139.2,140.91,77573000,USD
2021-10-14,142.11,143.88,141.51,143.76,67205000,USD
2021-10-15,143.77,144.9,143.51,144.84,67940000,USD
2021-10-18,143.45,146.84,143.16,146.55,82916000,USD
2021-10-19,147.01,147.37,146.79,147.15,4867344,USD
